Aktion \ zu,Fire,Blizzard,Thunder,Fire II,Transpose,Fire III,Thunder III,Blizzard III,Aetherial Manipulation,Scathe,Manaward,Manafont,Freeze,Flare,Ley Lines,Blizzard IV,Fire IV,Between the Lines,Thunder IV,Triplecast,Foul,Thunder II,Despair,Umbral Soul,Xenoglossy,Blizzard II,High Fire II,High Blizzard II,Amplifier,Paradox,High Thunder,High Thunder II,Retrace,Flare Star,Sprint,Surecast,Addle,Swiftcast,Lucid Dreaming,Sleep
Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,
Blizzard,,,,,r,,,,,,,,,,,,,,,,,,,r,,,,,,K,,,,,,,,,,
Thunder,,,,,,,Ugr,,,,,,,,,,,,g,,,g,,,,,,,,,,,,,,,,,,
Fire II,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,
Transpose,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
Fire III,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder III,,,g,,,,,,,,,,,,,,,,g,,,g,,,,,,,,,U,,,,,,,,,
Blizzard III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherial Manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scathe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manaward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manafont,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeze,,S,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,
Flare,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ley Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blizzard IV,,S,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire IV,Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between the Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,
Triplecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gr,,,,,,,,gr,,
Foul,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,r,,,,,,,,,,,
Thunder II,,,g,,,,g,,,,,,,,,,,,Ug,,,,,,,,,,,,,,,,,,,,,
Despair,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbral Soul,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xenoglossy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,
Blizzard II,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,
High Fire II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Blizzard II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplifier,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Thunder II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retrace,,,,,,,,,,,,,,,Srs,,,,,,,,,,,,,,,,,,,,,,,,,
Flare Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
Lucid Dreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
